file,rss_before,rss_peak,rss_after
2013-11-01,152.65625,171.58203125,198.57421875
2013-11-02,198.57421875,217.2890625,196.6640625
2013-11-03,196.6640625,215.61328125,196.54296875
2013-11-04,196.54296875,215.32421875,192.5234375
2013-11-05,192.5234375,213.125,193.66796875
2013-11-06,193.66796875,211.74609375,192.96875
2013-11-07,192.96875,211.8125,192.30859375
2013-11-08,192.30859375,211.62890625,192.78125
2013-11-09,192.78125,212.17578125,193.19921875
2013-11-10,193.19921875,210.53125,191.6171875
2013-11-11,191.62109375,210.80078125,192.0078125
2013-11-12,192.0078125,211.4609375,192.6796875
2013-11-13,192.6796875,211.08203125,192.16015625
2013-11-14,192.16015625,211.29296875,192.41796875
2013-11-15,192.41796875,211.49609375,192.81640625
2013-11-16,192.81640625,255.9296875,236.83203125
2013-11-17,236.83203125,211.2109375,192.40625
2013-11-18,192.40625,261.56640625,242.98828125
2013-11-19,242.98828125,259.59765625,244.875
2013-11-20,244.875,217.6015625,197.60546875
2013-11-21,197.60546875,262.32421875,239.54296875
2013-11-22,239.54296875,259.91796875,240.6875
2013-11-23,240.6875,264.171875,248.90234375
2013-11-24,248.90234375,268.0546875,248.40625
2013-11-25,248.40625,266.2421875,244.5078125
2013-11-26,244.5078125,262.44921875,238.58984375
2013-11-27,238.58984375,207.82421875,198.203125
2013-11-28,198.203125,266.22265625,242.421875
2013-11-29,242.421875,263.421875,244.21484375
2013-11-30,244.21484375,262.7578125,247.6640625
2013-12-01,247.6640625,268.0390625,248.3828125
2013-12-02,248.3828125,265.8671875,247.078125
2013-12-03,247.078125,264.9140625,245.6875
2013-12-04,245.6875,217.71875,195.49609375
2013-12-05,195.49609375,262.0234375,245.87109375
2013-12-06,245.87109375,266.1953125,247.17578125
2013-12-07,247.17578125,270.51953125,250.671875
2013-12-08,250.671875,268.36328125,249.77734375
2013-12-09,249.77734375,270.8125,251.390625
2013-12-10,251.390625,269.8671875,250.51953125
2013-12-11,250.51953125,271.6015625,251.5390625
2013-12-12,251.5390625,216.86328125,194.3984375
2013-12-13,194.3984375,265.328125,246.11328125
2013-12-14,246.11328125,265.921875,250.8125
2013-12-15,250.8125,269.48046875,248.99609375
2013-12-16,248.99609375,267.9140625,249.28125
2013-12-17,249.28125,269.9375,247.28125
2013-12-18,247.28125,266.296875,247.0703125
2013-12-19,247.0703125,211.94140625,193.1171875
2013-12-20,193.1171875,266.5234375,247.30078125
2013-12-21,247.30078125,268.3359375,249.125
2013-12-22,249.125,268.296875,249.0859375
2013-12-23,249.0859375,269.890625,250.671875
2013-12-24,250.671875,269.33203125,257.4375
2013-12-25,257.4375,276.80859375,250.6328125
2013-12-26,250.6328125,212.953125,197.30859375
2013-12-27,197.30859375,270.6015625,248.0078125
2013-12-28,248.0078125,269.26171875,250.6875
2013-12-29,250.6875,270.42578125,250.08984375
2013-12-30,250.08984375,268.3359375,253.66015625
2013-12-31,253.66015625,274.5234375,253.359375
2014-01-01,253.359375,273.77734375,254.5234375
